"income","sex","family.size","urbanity","province","AP.income","AP.family.size","AP.weight"
"1",133582,"male",5.5,"urban","Ilocos Norte",153924,5,3844
"2",312800,"male",1,"urban","Ilocos Norte",164531.5,1,3844
"3",395434,"male",6,"urban","Ilocos Norte",195892.4,5,3844
"4",519235,"female",10,"urban","Ilocos Norte",358701,10,3844
"5",321952,"male",5,"urban","Ilocos Norte",55330,3,3844
"6",663557,"male",4,"urban","Ilocos Norte",403462.5,6,3844
"7",84412,"male",2,"urban","Ilocos Norte",116050,2,3844
"8",724614,"male",9,"urban","Ilocos Norte",1013325.25,12,3844
"9",69895,"male",7,"urban","Ilocos Norte",97484.66,7,3844
"10",124910,"male",7,"urban","Ilocos Norte",154489.6,5,3844
"11",168141,"female",2.5,"urban","Ilocos Norte",129767.75,3,3844
"12",46968,"male",5.5,"urban","Ilocos Norte",66361.04,5,3844
"13",103500,"male",3.5,"urban","Ilocos Norte",101449.25,2,3844
"14",60430,"female",3,"urban","Ilocos Norte",61215,3,3844
"15",110821,"male",6,"urban","Ilocos Norte",284240,6,3844
"16",124456,"male",10,"urban","Ilocos Norte",192005.04,6,3844
"17",80349,"male",4.5,"urban","Ilocos Norte",19886.9,1,3844
"18",42298,"male",2.5,"urban","Ilocos Norte",100826,3,3844
"19",118025,"female",4,"rural","Ilocos Norte",61646.2,4,5392
"20",111718,"male",6,"rural","Ilocos Norte",216860.84,7,5392
"21",74957,"male",6,"rural","Ilocos Norte",64872.3,6,5392
"22",224714,"male",4,"rural","Ilocos Norte",286145.12,4,5392
"23",100754,"male",3,"rural","Ilocos Norte",160974,3,5392
"24",57334,"male",5,"rural","Ilocos Norte",49532,5,5392
"25",49142,"male",3,"rural","Ilocos Norte",64438,3,5392
"26",74903,"male",7,"rural","Ilocos Norte",63133.08,8,5392
"27",149488,"male",4.5,"rural","Ilocos Norte",129714.2,4,5392
"28",60935,"male",5,"rural","Ilocos Norte",38187.6,6,5392
"29",145781,"male",7,"rural","Ilocos Norte",73002.8,7,5392
"30",71789,"male",5.5,"rural","Ilocos Norte",92338.4,4,5392
"31",80750,"male",5,"rural","Ilocos Norte",86750.02,5,5882
"32",67792,"male",4,"rural","Ilocos Norte",115060.4,5,5882
"33",22896,"female",1,"rural","Ilocos Norte",21656.8,1,5882
"34",84435,"male",3,"rural","Ilocos Norte",82500,3,5882
"35",103747,"male",7,"rural","Ilocos Norte",118184,7,5882
"36",91449,"male",4.5,"rural","Ilocos Norte",74382,5,5882
"37",76797,"male",2,"rural","Ilocos Norte",36018.4,2,5882
"38",38810,"male",5,"rural","Ilocos Norte",99832.44,5,5882
"39",188885,"male",4,"rural","Ilocos Norte",194055.34,4,5882
"40",38162,"male",5,"rural","Ilocos Norte",36927,6,5882
"41",48813,"male",4,"rural","Ilocos Norte",55812.6,4,5882
"42",60409,"male",5,"rural","Ilocos Norte",73790.2,5,5392
"43",58306,"male",4,"rural","Ilocos Norte",62858.4,4,5392
"44",87679,"male",10,"rural","Ilocos Norte",110198,10,5392
"45",51468,"male",5.5,"rural","Ilocos Norte",43111.2,1,5392
"46",50898,"male",6,"rural","Ilocos Norte",69625.6,6,5392
"47",172284,"male",5,"rural","Ilocos Norte",175923,5,5392
"48",50597,"male",4,"rural","Ilocos Norte",56159.4,4,5392
"49",71161,"male",6,"rural","Ilocos Norte",51964,5,5392
"50",60414,"female",4.5,"rural","Ilocos Norte",44655.6,2,5392
"51",37167,"male",5,"rural","Ilocos Norte",69234,5,5392
"52",35490,"male",6,"rural","Ilocos Norte",75499.6,6,5392
"53",42269,"male",5.5,"rural","Ilocos Norte",87032,5,5392
"54",116266,"male",5,"rural","Ilocos Norte",132664.4,4,5392
"55",36809,"male",6,"rural","Ilocos Norte",38456,6,5392
"56",64872,"female",4,"rural","Ilocos Norte",43632,4,5392
"57",34487,"male",5,"rural","Ilocos Norte",75360.14,5,5392
"58",107866,"male",6.5,"rural","Ilocos Norte",111388.2,5,5392
"59",68654,"male",2,"rural","Ilocos Norte",61314,2,5392
"60",53394,"male",11,"rural","Ilocos Norte",57420,11,5392
"61",33017,"male",4,"rural","Ilocos Norte",81488,4,5392
"62",146867,"male",5.5,"rural","Ilocos Norte",65508.6,6,5392
"63",135039,"male",9,"rural","Ilocos Norte",150788,10,5392
"64",31733,"female",1.5,"rural","Ilocos Norte",21230,1,5392
"65",208322,"male",6,"rural","Ilocos Norte",148394.4,6,5392
"66",394650,"male",4.5,"urban","Ilocos Sur",766920,5,2122
"67",116423,"male",4,"urban","Ilocos Sur",109383,2,2122
"68",26990,"female",3,"urban","Ilocos Sur",10010,2,2122
"69",85954,"female",2.5,"urban","Ilocos Sur",58600.2,5,2122
"70",378117,"female",4,"urban","Ilocos Sur",265528.06,4,2122
"71",74167,"female",4,"urban","Ilocos Sur",40750.22,5,2122
"72",349685,"female",4,"urban","Ilocos Sur",259393.4,4,2122
"73",143324,"male",2.5,"urban","Ilocos Sur",84480,1,2122
"74",395089,"male",8.5,"urban","Ilocos Sur",491625.4,11,2122
"75",83053,"female",2,"urban","Ilocos Sur",131120,3,2122
"76",348268,"male",6.5,"urban","Ilocos Sur",294580.64,5,2122
"77",31670,"male",8,"urban","Ilocos Sur",19937.4,9,1945
"78",78279,"female",5,"urban","Ilocos Sur",68328.52,5,1945
"79",58247,"male",5,"urban","Ilocos Sur",26268.2,5,1945
"80",156226,"female",3.5,"urban","Ilocos Sur",134904,4,1945
"81",52897,"female",1,"urban","Ilocos Sur",57160.4,1,1945
"82",77116,"male",7,"urban","Ilocos Sur",86108,7,1945
"83",71870,"male",5,"urban","Ilocos Sur",55630.8,5,1945
"84",169347,"male",5,"urban","Ilocos Sur",166801.5,5,1945
"85",44647,"male",1.5,"urban","Ilocos Sur",28138,2,1945
"86",88414,"male",4,"urban","Ilocos Sur",81888.4,4,1945
"87",242550,"male",7.5,"urban","Ilocos Sur",82456.4,4,1945
"88",144523,"male",6,"urban","Ilocos Sur",129558.66,6,1945
"89",76505,"male",6,"rural","Ilocos Sur",82718.44,6,4407
"90",62136,"female",3,"rural","Ilocos Sur",63343.16,3,4407
"91",125247,"male",5,"rural","Ilocos Sur",69021.38,4,4407
"92",88349,"male",4,"rural","Ilocos Sur",49591,3,4407
"93",78666,"male",4,"rural","Ilocos Sur",104098.4,5,4407
"94",31749,"male",5,"rural","Ilocos Sur",44726,5,4407
"95",56820,"male",7,"rural","Ilocos Sur",59783.5,5,4407
"96",156867,"male",9,"rural","Ilocos Sur",51154.48,4,4407
"97",68852,"male",5.5,"rural","Ilocos Sur",188385.2,4,4407
"98",146120,"male",5,"rural","Ilocos Sur",117700,4,4407
"99",389678,"male",8,"rural","Ilocos Sur",270651.78,5,4407
"100",65604,"female",3,"rural","Ilocos Sur",71500,3,4040
"101",106913,"male",5,"rural","Ilocos Sur",107224.6,5,4040
"102",128390,"female",5,"rural","Ilocos Sur",173768,5,4040
"103",95960,"male",7,"rural","Ilocos Sur",88888.8,7,4040
"104",362662,"male",7,"rural","Ilocos Sur",233957.5,8,4040
"105",37600,"male",5.5,"rural","Ilocos Sur",135960,6,4040
"106",175966,"male",3,"rural","Ilocos Sur",190080,3,4040
"107",683574,"male",4,"rural","Ilocos Sur",815205.37,4,4040
"108",89285,"male",5,"rural","Ilocos Sur",91667.6,5,4040
"109",76022,"male",4.5,"rural","Ilocos Sur",271920,4,4040
"110",52259,"male",6,"rural","Ilocos Sur",51765,6,4040
"111",26262,"female",3,"rural","Ilocos Sur",27876,2,4040
"112",46371,"male",4,"rural","Ilocos Sur",31180.8,3,4848
"113",23921,"female",2,"rural","Ilocos Sur",27297.6,2,4848
"114",45043,"male",6,"rural","Ilocos Sur",68780.8,6,4848
"115",19863,"female",1,"rural","Ilocos Sur",30196.25,1,4848
"116",39762,"male",3,"rural","Ilocos Sur",51574.18,3,4848
"117",152545,"male",8.5,"rural","Ilocos Sur",125994,8,4848
"118",125690,"female",8.5,"rural","Ilocos Sur",132000,7,4848
"119",61260,"male",5,"rural","Ilocos Sur",80608,5,4848
"120",35377,"male",2.5,"rural","Ilocos Sur",92829,3,4848
"121",55856,"male",4,"rural","Ilocos Sur",59600.8,4,4848
"122",109846,"male",2,"rural","Ilocos Sur",117040,2,4040
"123",41641,"male",4.5,"rural","Ilocos Sur",52272,5,4040
"124",103402,"male",2,"rural","Ilocos Sur",118800,2,4040
"125",41754,"female",3,"rural","Ilocos Sur",40040,7,4040
"126",31289,"male",4,"rural","Ilocos Sur",40904.5,4,4040
"127",66235,"male",4,"rural","Ilocos Sur",29370,3,4040
"128",43387,"male",6,"rural","Ilocos Sur",63742,7,4040
"129",136487,"male",5,"rural","Ilocos Sur",92659.6,5,4040
"130",33508,"female",5,"rural","Ilocos Sur",118800,5,4040
"131",49287,"male",3,"rural","Ilocos Sur",179080,4,4040
"132",47136,"male",6.5,"rural","Ilocos Sur",155540,6,4040
"133",22826,"male",5.5,"rural","Ilocos Sur",85140,6,4040
"134",447364,"male",8,"urban","La Union",827200,6,1631
"135",312915,"male",6,"urban","La Union",362355,6,1631
"136",119625,"male",7,"urban","La Union",60291,7,1631
"137",253837,"female",12,"urban","La Union",276540,6,1631
"138",51151,"male",3,"urban","La Union",32724,3,1631
"139",69147,"female",1,"urban","La Union",38280,7,1631
"140",157024,"female",5,"urban","La Union",322190,6,1631
"141",153784,"male",4,"urban","La Union",77647.5,4,1631
"142",198699,"male",2,"urban","La Union",204157.1,2,1631
"143",85264,"female",7,"urban","La Union",219120,7,1631
"144",465263,"male",4,"urban","La Union",620347.7,4,1631
"145",87412,"male",5.5,"urban","La Union",33734,5,1631
"146",51470,"male",3.5,"urban","La Union",66220,4,1631
"147",59495,"male",2,"urban","La Union",51156,2,1631
"148",51520,"male",5,"urban","La Union",59073,5,1631
"149",70378,"male",4,"urban","La Union",95467.22,4,1631
"150",63187,"male",6.5,"urban","La Union",86680,7,1631
