"factor","tenencia","estructura","ingreso","transporte","publico","mantenimiento"
"1",951,"rentada","nuclear",39461.59,3749.69,2852.16,0
"2",951,"propia","nuclear",111726.03,5235.63,0,3590.14
"3",951,"propia","nuclear",49025.3,622.29,622.29,0
"4",951,"rentada","unipersonal",14226.91,155.57,155.57,0
"5",910,"rentada","nuclear",44876.7,4861.65,583.4,1795.07
"6",910,"propia","nuclear",56636.43,1645.48,0,598.36
"7",910,"propia","nuclear",75542.47,15505.41,1244.59,5883.84
"8",910,"propia","nuclear",17030.22,2171.08,855.69,0
"9",937,"prestada","nuclear",71104.64,6891.08,1296.45,4033.92
"10",937,"rentada","nuclear",60042.03,6969.85,0,2752.44
"11",937,"rentada","nuclear",49149.95,15351.86,10864.19,0
"12",937,"rentada","nuclear",60838.86,6386.48,1400.18,1645.48
"13",988,"prestada","nuclear",37048.21,1687.42,1089.06,0
"14",988,"propia","nuclear",15603.14,792.82,0,0
"15",988,"litigio","ampliado",17025.74,1894.84,1296.48,0
"16",988,NA,"nuclear",19062.63,3771.68,3681.93,0
"17",927,"rentada","nuclear",71802.72,7463.55,2048.42,1196.71
"18",927,"propia","nuclear",37596.7,2991.78,0,1795.07
"19",927,"rentada","nuclear",118654.01,7649.99,0,6133.15
"20",875,"propia","nuclear",59527.49,2449.28,1892.81,0
"21",875,"prestada","ampliado",29194.78,3626.03,933.42,1795.07
"22",875,"propia_pagando","nuclear",80229.57,14708.61,2566.97,7404.65
"23",875,"propia_pagando","nuclear",52535.17,7534.83,1380.72,4083.79
"24",875,"rentada","nuclear",37137.97,6659.71,1296.45,847.67
"25",946,"propia","nuclear",380385.9,14164.59,382.45,5554.74
"26",946,"rentada","nuclear",108262.55,15143.39,0,10670.68
"27",946,"prestada","nuclear",151882.7,40857.77,518.6,12066.84
"28",946,"prestada","nuclear",27813.09,5708.33,1983.55,0
"29",875,"propia","ampliado",46456.35,2633.76,1646.47,0
"30",875,"prestada","nuclear",14250.84,1512.84,337.07,0
"31",875,"propia","nuclear",131398.99,11475.48,1672.4,5016.23
"32",875,"propia","ampliado",34006.57,1934.68,1037.14,598.36
"33",1090,"propia","nuclear",24007.04,1928.74,687.14,0
"34",1090,"propia","nuclear",40264.37,4164.6,2878.13,0
"35",1090,"litigio","nuclear",27939.24,3257.05,414.86,897.53
"36",1090,"rentada","nuclear",45288.57,2576.97,1529.84,0
"37",1090,"prestada","nuclear",36455.84,1932.71,1633.53,0
"38",868,"propia","nuclear",150900.42,3500.38,0,2393.42
"39",868,"propia","nuclear",1059379.32,15200.25,51.86,3889.32
"40",868,"propia","nuclear",690602.55,10638.76,324.11,6183.01
"41",868,"propia","ampliado",474529.22,16006.03,0,7030.69
"42",868,"propia","nuclear",209374.73,4856.66,518.58,2094.25
"43",1004,"rentada","nuclear",29951.46,5400.17,0,3305.92
"44",1004,"rentada","unipersonal",49354.4,9545.75,311.14,3330.84
"45",1004,"propia","nuclear",76043.58,6881.09,0,5983.56
"46",1004,"propia","nuclear",65609.74,4397.95,777.9,2393.42
"47",900,"propia","nuclear",250162.68,3367.78,2320.66,0
"48",900,"propia_pagando","nuclear",73195.88,25085.1,77.79,3465.49
"49",900,"propia_pagando","ampliado",15720.8,2594.86,1529.79,0
"50",900,"propia_pagando","ampliado",29119.98,4868.7,4252.39,0
"51",1490,"propia","nuclear",424832.76,16753.97,0,8975.34
"52",1246,"propia","nuclear",27800.62,3490.35,2592.82,0
"53",1246,"propia","ampliado",136125.99,27227.28,5885.92,21341.36
"54",1246,"rentada","nuclear",13204.21,1426.13,1037.2,0
"55",1246,"rentada","ampliado",35770.72,2709.57,2709.57,0
"56",1191,"prestada","unipersonal",6432.33,89.75,0,0
"57",1191,"propia","ampliado",30119.26,10792.36,6469.24,0
"58",1191,"propia","unipersonal",41328.95,0,0,0
"59",840,"propia","ampliado",41168.89,4435.86,3059.64,0
"60",840,"propia","ampliado",40197.57,4433.81,544.5,0
"61",840,"rentada","nuclear",22784.91,3930.18,3331.82,0
"62",840,"prestada","ampliado",19985.09,4276.25,3318.88,0
"63",91,"propia","ampliado",41735.34,6816.27,2009.47,3669.92
"64",91,"propia","ampliado",28536.61,7447.6,5652.53,0
"65",91,"propia","nuclear",26926.02,9217.68,1426.1,2617.8
"66",91,"propia","nuclear",22397.48,2790.35,1892.82,0
"67",91,"propia","ampliado",14709.58,6041.36,2152.04,0
"68",91,"propia","nuclear",29020.27,7757.65,6339.54,0
"69",91,"propia_pagando","nuclear",28681.2,5959.63,3850.42,0
"70",907,"propia","nuclear",29857.96,10355.58,3474.49,4188.49
"71",907,"propia","nuclear",36260.39,3500.38,0,1645.48
"72",907,"propia","nuclear",27899.86,2014.46,0,1585.64
"73",907,"rentada","nuclear",29917.8,4547.55,907.55,1047.12
"74",907,"propia","nuclear",38195.07,2572.97,777.9,0
"75",1145,"propia","nuclear",78145.3,689.11,90.75,0
"76",1145,"propia","unipersonal",17805.08,3231.13,0,837.7
"77",915,"propia","ampliado",67154.5,6662.72,1905.79,2513.09
"78",915,"rentada","nuclear",26427.39,9724.82,3571.72,1834.96
"79",915,"rentada","nuclear",32256.35,2413.46,1815.1,0
"80",773,"propia","nuclear",46242.94,2393.43,388.94,0
"81",773,"rentada","nuclear",23635.06,6267.85,1555.8,3814.52
"82",773,"propia","nuclear",36565.54,5325.37,0,4427.83
"83",773,"prestada","nuclear",27115.51,3847.44,855.66,2991.78
"84",773,"prestada","nuclear",31114.51,1446.01,907.49,0
"85",764,"propia","nuclear",28820.81,6492.17,648.22,3989.04
"86",764,"propia","nuclear",37389.68,3206.2,2398.42,0
"87",764,"propia","ampliado",49005.37,9856.91,2437.29,3590.14
"88",764,"rentada","nuclear",13043.16,3472.56,2904.12,0
"89",957,"propia","ampliado",161566.09,16109.74,2696.59,5135.89
"90",957,"propia","unipersonal",23435.61,448.77,0,0
"91",957,"prestada","nuclear",21650.52,1162.82,414.87,0
"92",957,"rentada","ampliado",47245.2,4457.76,0,4457.76
"93",957,"propia","ampliado",102119.42,11157.35,985.3,5983.56
"94",885,"prestada","ampliado",48367.11,10818.28,0,3590.14
"95",885,NA,"ampliado",63375.88,7112.49,2061.36,3590.14
"96",885,"rentada","ampliado",27838.51,652.21,0,0
"97",885,"rentada","nuclear",8406.9,2399.44,1205.72,0
"98",885,"propia","nuclear",27713.85,2443.31,1815.04,0
"99",1033,"rentada","nuclear",23372.8,2760.39,2670.64,0
"100",1033,"rentada","ampliado",24406.96,2941.96,1296.48,1495.89
"101",1033,"rentada","nuclear",17995.56,1452.08,1452.08,0
"102",1077,"propia","ampliado",30012.58,1711.27,1711.27,0
"103",1077,"rentada","nuclear",54435.44,3859.4,0,1376.22
"104",1077,"propia","ampliado",62564.1,4442.82,583.41,598.36
"105",1077,"prestada","nuclear",31044.7,3852.89,1160.29,0
"106",907,"prestada","ampliado",52156.7,2612.84,1296.45,0
"107",907,"rentada","nuclear",42303.76,6661.75,5704.38,0
"108",907,"rentada","unipersonal",18459.27,2519.08,1322.37,0
"109",907,"prestada","nuclear",36135.75,1037.15,0,0
"110",907,"rentada","nuclear",66053.51,2665.19,421.35,1645.48
"111",1143,"propia","nuclear",50461.36,10800.33,2074.3,5734.26
"112",1143,"litigio","nuclear",30391.51,6852.14,3202.17,0
"113",1143,"propia","nuclear",36499.72,3994.03,1750.19,0
"114",1143,"propia","ampliado",110601.11,9684.42,3850.45,2393.42
"115",1291,"prestada","nuclear",24303.22,448.77,0,0
"116",1291,"propia_pagando","nuclear",41872.45,1805.01,907.48,0
"117",1291,"propia","ampliado",39790.67,8866.62,1840.93,2393.42
"118",1291,"prestada","nuclear",48339.19,3681.9,2320.65,0
"119",1291,"rentada","nuclear",10263.79,2273.7,1944.6,0
"120",991,"propia","unipersonal",37646.56,3365.75,0,2238.85
"121",991,"prestada","nuclear",15038.68,11609.05,2540.97,5983.56
"122",991,"rentada","nuclear",54809.41,6532.07,1296.45,2991.78
"123",991,"propia","nuclear",84418.05,6809.45,5522.98,0
"124",971,"prestada","nuclear",27713.85,1755.21,1037.18,0
"125",971,"propia","ampliado",83071.77,15570.25,2878.12,6581.92
"126",971,"prestada","unipersonal",11967.12,298.18,298.18,0
"127",998,"propia","nuclear",32012.04,4212.53,2178.12,0
"128",998,"propia","ampliado",152770.27,11249.11,907.52,4058.85
"129",998,"propia","ampliado",60334.24,5933.69,0,3540.27
"130",998,"rentada","ampliado",19646.02,5968.64,4083.81,0
